Disease,"Active TB/HIV, Treatment Regimen",Active TB/HIV- Treatment Regimen,MDR-TB Treatment Regimen,,,XDR-TB Treatment Regimen,Total Impact,Malaria (p.falc),,,,,,,,,,,,,,,,,,,Malaria (p.vivax),,,,,,,Malaria,HIV,,,,,,,,,,,,RoundWorm,,,Hookworm,,Whipworm,,,,,,Worms,Schistomasis,,Onchocerciasis,,LF,,,Total
Antigua and Barbuda,3.09,19.7,0,0,0,0,22.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.83,0,0.31,0,0,0.64,0.23,0.07,0.34,0.01,0.77,3.2,,,,,,,,,0,0,0,0,,0,,0,,,0,25.99
Argentina,"2,386.28","15,220.87",212.9,23.28,206.64,15.88,"18,065.85",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,783.18",122.26,"1,502.67",3.14,16.2,"2,719.59",953.98,350.74,"1,618.61",50.93,"3,192.02","14,313.30",,,,,,,,,0,0,0,0,,0,,0,,,0,"32,379.15"
Armenia,445.71,"2,842.96",234.26,9.89,115.17,12.88,"3,660.88",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.91,0.02,2.21,0,0,4.55,1.66,0.5,2.42,0.09,5.51,22.88,,,,,,,,,0,0,0,0,,0,,0,,,0,"3,683.76"
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
Australia,158.76,"1,012.67",8.34,1.55,13.55,0.84,"1,195.71",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.29,0.42,10.59,0.01,0.05,21.62,7.62,2.33,11.58,0.39,25.57,108.46,,,,,,,,,0,0,0,0,,0,,0,,,0,"1,304.17"
Austria,133.93,854.24,5.14,1.17,10.87,0.62,"1,005.97",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"1,005.97"
Azerbaijan,"3,251.47","20,739.50","1,682.59",86.51,"2,048.39",136.87,"27,945.34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.93,0.41,9.97,0.01,0.05,19.37,7,2.33,10.85,0.4,23.24,99.55,,,,,,,,,0,0,0,0,,0,,0,,,0,"28,044.90"
Bahamas,19.21,122.55,3.1,0.08,0.89,2.86,148.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,148.69
Bahrain,59.1,376.95,0,0,0,0,436.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.03,0.15,14.14,0,0,29.42,10.71,3.19,15.53,0.6,35.53,147.31,,,,,,,,,0,0,0,0,,0,,0,,,0,583.35
Bangladesh,"69,911.68","445,931.57","28,646.99","2,627.70","36,016.83","2,412.64","585,547.42","24,896.72",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"24,896.72","1,833.89",0,0,0,0,0,"1,833.89","26,730.62",96.37,5.81,40.35,0.16,0.84,64,22.17,10.71,42.69,1.28,74.03,358.42,"47,371.82",,"40,789.86","9,975.47",,"1,206.30",,"2,820.36","88,161.69","9,975.47","4,026.66","102,163.82",,0,,0,4.28,0.64,4.92,"714,805.19"
Barbados,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.26,0.07,6.4,0,0,13.38,4.86,1.44,7.03,0.27,16.13,66.84,,,,,,,,,0,0,0,0,,0,,0,,,0,66.94
Belarus,"1,152.93","7,353.99","2,980.21",85.62,936.17,143.49,"12,652.41",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,1.05,49.84,0.01,0.08,100.31,36.61,11.52,54.48,2.09,121.23,509,,,,,,,,,0,0,0,0,,0,,0,,,0,"13,161.41"
Belgium,183.44,"1,170.08",3.65,1.2,9.49,0.51,"1,368.39",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"1,368.39"
Belize,67.95,433.43,0,0,0,0.75,502.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0,0,0,0,0.03,0.03,14.65,0.69,6.04,0.02,0.1,10.05,3.49,1.48,6.44,0.19,11.68,54.83,,,,,,,,,0,0,0,0,,0,,0,,,0,557
Benin,"12,826.56","81,814.18",559.74,65.11,847.76,52.8,"96,166.15","154,711.80",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"154,711.80",0,0,0,0,0,0,0,"154,711.80",400.56,30.52,171.85,0.87,4.48,256,85.84,46,180.47,4.68,289.01,"1,470.30",,,,,,,,,0,0,0,0,"5,505.15","5,505.15",0.01,0.01,,7.51,7.51,"257,860.92"
Bermuda,0,0,0,0,0,0.01,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.88,0,0.33,0,0,0.68,0.25,0.07,0.36,0.01,0.82,3.4,,,,,,,,,0,0,0,0,,0,,0,,,0,3.41
Bhutan,721.25,"4,600.51",45.73,4.05,35.69,3.06,"5,410.31",113.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.92,167.23,0,0,0,0,0,167.23,281.16,1.02,0,0.38,0,0,0.79,0.29,0.09,0.42,0.02,0.95,3.95,,,,,,,,,0,0,0,0,,0,,0,,,0,"5,695.41"
Bolivia,"3,284.75","20,951.77",405.52,39.72,378.38,29.53,"25,089.67",0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,1,0,0,0,0,0,1,1.01,28.96,0.1,10.45,0,0,22.92,8.11,2.2,11.54,0.41,27.25,111.94,,,,,,,,,0,0,0,0,,0,,0,,,0,"25,202.62"
"Bonaire, Saint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
Bosnia and Herzegovina,394.05,"2,513.44",0.86,0.53,4.23,0.2,"2,913.30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"2,913.30"
Botswana,"8,490.23","54,154.90",0,0,0,0,"62,645.13",627.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,627.35,0,0,0,0,0,0,0,627.35,"2,332.29",99.98,947.07,2.66,13.72,"1,630.74",562.14,223.15,"1,013.53",29.3,"1,889.84","8,744.41",,,,,,,,,0,0,0,0,285.1,285.1,0,0,,,0,"72,301.99"
Brazil,"25,103.88","160,125.08",748.46,112.41,987.09,66.26,"187,143.17",0,2.33,0,0,0,0,0,2.23,0,0,0,0,0,0,0,0,0,0,4.56,33.76,0,0,0,0,0,33.76,38.33,"26,289.59",698.93,"10,268.91",17.6,90.67,"19,233.00","6,809.37","2,405.37","11,107.32",368.48,"22,729.25","100,018.50",,,,,,,,,0,0,0,0,"3,796.41","3,796.41",0,0,,-,0,"290,996.41"
British Virgin Islands,0,0,0,0,0,0.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0.04
Brunei Darussalam,45.89,292.68,0,0,0,0.51,339.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,-,-,0,339.08
Bulgaria,359.95,"2,295.94",0,0,0,5.34,"2,661.23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"2,661.23"
Burkina Faso,"28,053.43","178,938.77","11,081.99",158.95,"2,082.88",477.71,"220,793.71","254,418.08",0,0,0,0,"258,005.20",0,0,0,0,0,0,0,0,0,0,0,0,"512,423.27",0,0,0,0,0,0,0,"512,423.27",577.01,36.29,239.96,1.03,5.29,385.23,131.04,62.55,254.1,7.06,440.49,"2,140.06",,,,,,,,,0,0,0,0,"1,080.43","1,080.43",0,0,,46.99,46.99,"736,484.46"
Burundi,"24,214.46","154,451.92","8,397.10",114.89,"1,557.37",361.02,"189,096.77",0,0,0,0,0,"79,621.79",0,0,0,0,0,0,0,0,0,0,0,0,"79,621.79",0,0,0,0,0,0,0,"79,621.79","2,295.02",131.43,943.38,3.73,19.07,"1,557.47",533.36,243,"1,002.38",28.75,"1,790.82","8,548.40",,,,,,,,,0,0,0,0,274.6,274.6,10.87,10.87,,,0,"277,552.43"
Cambodia,"13,669.85","87,193.09",0,0,0,0,"100,862.93",0,0,0,0,0,0,"3,846.71",0,0,0,0,0,0,"3,274.46",0,0,0,0,"7,121.18",0,0,"4,787.92",0,0,0,"4,787.92","11,909.10","3,983.28",14.9,"1,457.17",0,0,"3,121.97","1,118.96",316.2,"1,605.41",58.66,"3,736.78","15,413.33",,,,,,,,,0,0,0,0,"1,099.96","1,099.96",0,0,,,0,"129,285.33"
Cameroon,"15,894.87","101,385.39",0,0,0,0,"117,280.26",0,0,0,0,0,"343,461.97",0,0,0,0,0,0,0,0,0,0,0,0,"343,461.97",0,0,0,0,0,0,0,"343,461.97","38,770.32","1,603.06","15,553.80",44.31,226.35,"27,271.74","9,613.16","3,946.17","16,660.73",543.11,"32,035.35","146,268.09",,,,,,,,,0,0,0,0,"3,592.98","3,592.98",152.93,152.93,,121.25,121.25,"610,877.48"
Canada,280.55,"1,789.50",0,0,0,0.56,"2,070.62",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,0.14,12.72,0,0,26.46,9.63,2.87,13.97,0.54,31.95,132.47,,,,,,,,,0,0,0,0,,0,,0,,,0,"2,203.09"
Cape Verde,93.21,594.57,0,0,0,1.03,688.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.05,0.06,5.23,0,0,10.87,3.96,1.18,5.74,0.22,13.12,54.41,,,,,,,,,0,0,0,0,,0,,0,,,0,743.23
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
Central African Republic,"18,786.75","119,831.27","3,027.73",41.42,551.38,129.81,"142,368.36","92,308.07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"92,308.07",0,0,0,0,0,0,0,"92,308.07",620.38,33.75,255.79,0.95,4.87,420.49,146.28,66.92,271.76,8.31,488.39,"2,317.88",,,,,,,,,0,0,0,0,122.07,122.07,50.16,50.16,,90.19,90.19,"237,256.74"
Chad,"19,136.57","122,062.60",0,0,0,212.01,"141,411.18","144,042.68",0,0,0,0,"148,033.32",0,0,0,0,0,0,0,0,0,0,0,0,"292,076.00",0,0,0,0,0,0,0,"292,076.00","1,037.43",63.3,430.89,1.81,9.24,693.9,238.37,113.73,456.47,13.25,798.43,"3,856.83",,,,,,,,,0,0,0,0,"3,389.25","3,389.25",4.48,4.48,,38.2,38.2,"440,775.95"
Chile,"1,419.14","9,052.01",11.18,4.72,42.14,2.08,"10,531.27",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.02,0.45,44.72,0,0,96.86,34.51,9.57,49.32,1.77,115.57,475.8,,,,,,,,,0,0,0,0,,0,,0,,,0,"11,007.07"
China,"209,261.29","1,334,772.87","53,103.01","5,103.37","49,026.01","3,844.66","1,655,111.22",0,0,0,13.45,14.16,12.62,0,0,0,0,0,0,15.07,0,0,0,0,0,55.3,"1,609.22",0,0,0,0,0,"1,609.22","1,664.52","11,785.55",47.88,"4,402.36",0,0,"9,084.85","3,320.23","1,004.00","4,828.64",188.28,"10,997.43","45,659.22",,,,,,,,,0,0,0,0,-,0,0,0,,,0,"1,702,434.95"
"China, Hong Kong SAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
"China, Macao SAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
Colombia,"3,252.39","20,745.38",212.8,37.56,344.04,21.31,"24,613.48",9.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.55,0,0,0,0,0,0,0,9.55,"8,179.98",29.15,"2,952.23",0,0,"6,473.20","2,290.53",622.53,"3,259.94",114.83,"7,697.88","31,620.27",272.32,203.95,,80.08,13.94,25.66,40.53,,476.27,94.02,66.19,636.47,,0,,0,,,0,"56,879.77"
Comoros,"1,034.83","6,600.67",0,0,0,0,"7,635.50",777.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,777.09,0,0,0,0,0,0,0,777.09,1.84,0.01,0.68,0,0,1.42,0.52,0.15,0.75,0.03,1.72,7.11,51.28,,46.31,40.58,,18.49,,52.06,97.59,40.58,70.55,208.72,,0,,0,5.6,3.96,9.55,"8,637.98"
Congo,"4,018.58","25,632.50",239.59,3.28,44.44,59.91,"29,998.30",0,0,0,0,0,"41,313.86",0,0,0,0,0,0,0,0,0,0,0,0,"41,313.86",0,0,0,0,0,0,0,"41,313.86",426.33,1.7,158.6,0,0,329.78,120.07,35.79,174.13,6.7,398.26,"1,651.36","1,038.84",,936.58,204.41,,54.57,,147.07,"1,975.42",204.41,201.64,"2,381.47","1,405.19","1,405.19",0.42,0.42,,2.63,2.63,"76,753.24"
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
Costa Rica,170.02,"1,084.50",0,0,0,0,"1,254.53",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.39,0.61,9.8,0.02,0.08,18.78,6.66,2.3,10.63,0.36,22.23,96.85,,,,,,,,,0,0,0,0,,0,,0,,,0,"1,351.38"
Cote d'Ivoire,"22,783.62","145,325.29","6,651.24",193.95,"2,629.16",339.69,"177,922.96",0,0,0,0,0,"494,427.88",0,0,0,0,0,0,0,0,0,0,0,0,"494,427.88",0,0,0,0,0,0,0,"494,427.88","20,739.84","1,181.28","8,560.51",33.52,171.38,"14,012.35","4,839.96","2,238.18","9,088.26",269.95,"16,193.85","77,329.09",,,,,,,,,0,0,0,0,"1,814.73","1,814.73",0,0,,105.93,105.93,"751,600.58"
Croatia,170.53,"1,087.71",0,0,0,1.89,"1,260.12",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"1,260.12"
Cuba,132.67,846.25,11.59,1.41,11.16,0.87,"1,003.95",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.76,2.41,38.33,0.06,0.31,72.84,25.68,8.76,41.54,1.36,85.94,375.99,,,,,,,,,0,0,0,0,,0,,0,,,0,"1,379.94"
Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,0
Cyprus,9.88,63.04,0,0,0,0.11,73.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,73.04
Czech Republic,147.07,938.11,3.6,0.44,4.69,0.31,"1,094.23",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"1,094.23"
Democratic People's Republic of Korea,"7,437.18","47,438.03","4,084.98",93.23,"1,290.57",196.08,"60,540.07",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,"60,540.07"
Democratic Republic of the Congo,"162,543.36","1,036,782.57","17,458.51",668.91,"6,658.56",888.67,"1,225,000.57",0,0,0,0,0,"1,187,961.22",0,0,0,0,0,0,0,0,0,0,0,0,"1,187,961.22",0,0,0,0,0,0,0,"1,187,961.22","18,412.17","1,278.33","7,773.00",36.81,188.14,"12,017.74","4,090.62","2,094.37","8,193.82",228.66,"13,719.18","68,032.84","114,634.83",,"81,135.14","4,464.91",,145.98,,478.17,"195,769.97","4,464.91",624.15,"200,859.03","5,257.42","5,257.42","2,565.70","2,565.70",,14.02,14.02,"2,689,690.81"
Denmark,76.83,490.09,0,0,0,0.07,566.99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,0,0,0,,0,,0,,,0,566.99
Djibouti,"1,299.47","8,288.68",138.38,10.65,93.51,8.7,"9,839.38",0,30.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.32,0,0,0,0,0,0,0,30.32,117.43,3.33,45.97,0.09,0.45,85.34,30.53,11.33,49.62,1.74,101.47,447.3,,,,,,,,,0,0,0,0,,0,,0,,,0,"10,317.01"
Dominica,12.19,77.79,0,0,0,0.14,90.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9,0.01,0.68,0,0,1.5,0.53,0.14,0.76,0.03,1.78,7.33,,,,,,,,,0,0,0,0,,0,,0,,,0,97.45
Dominican Republic,"2,213.29","14,117.44",348.15,22.24,215.05,20.99,"16,937.15",0,0,0,0,0,0,0,0,0,0,0,0.68,0,0,0,0,0,0,0.68,0.03,0,0,0,0,0,0.03,0.71,462.25,11.22,178.91,0.28,1.46,340.88,121.39,42.46,193.88,6.66,404.46,"1,763.86",,,,,,,,,0,0,0,0,,0,,0,0,0.01,0.01,"18,701.74"
Ecuador,"3,315.74","21,149.45",835.25,65.24,587.76,53.36,"26,006.80",0,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,2.99,0,0,0,0,0,2.99,4.49,119.06,1.08,44.62,0.02,0.09,91.28,32.87,10.02,48.86,1.79,109.41,459.1,,,,,,,,,0,0,0,0,-,0,,0,,,0,"26,470.39"
