Diseases,TB,,,,,,,,,,,,,,Malaria,,,,,,,,,,,,,,HIV,,,,,,,,,,,Roundworm,,,Hookworm,,Whipworm,,,Schistosomiasis,Onchocerciasis,LF,,
Companies,F. Hoffmann-La Roche Ltd,Pfizer Inc.,Sanofi,Merck,Merck,Pfizer Inc.,Pfizer Inc.,Pfizer Inc.,Bristol-Myers Squibb,Eli Lilly and Company,Daiichi Sankyo,Bayer Healthcare,"Kyorin Pharmaceutical Co., Ltd.",Daiichi Sankyo,Novartis,"Guilin Pharmaceutical Co., Ltd.",Artepharm,Sanofi,Sanofi,Sanofi,Sanofi,Sanofi,GlaxoSmithKline,Bayer Healthcare,Sanofi,Chongqing Holley Pharmaceutical Co. Ltd and Sigma Tau Industrie Farmaceutiche,Taisho Pharmaceuticals,Pfizer Inc.,Shire Pharmaceuticals,GlaxoSmithKline,GlaxoSmithKline,Bristol-Myers Squibb,Bristol-Myers Squibb,Merck,"Gilead Sciences, Inc.",Abbott Laboratories,Boehringer Ingelheim,Bristol-Myers Squibb,"Gilead Sciences, Inc.",GlaxoSmithKline,Johnson and Johnson,Merck,GlaxoSmithKline,Johnson and Johnson,GlaxoSmithKline,Johnson and Johnson,Merck,Bayer Healthcare,Merck,GlaxoSmithKline,Merck,Pfizer Inc.
Drugs,Isoniazid (H or INH),Ethambutol (E or EMB),RIfampicin (R or RMP),Pyrazinamide (Z or PZA),Streptomycin (S or STR),Ethionamide (Eto),p-aminosalicylic acid (PAS),Cycloserine (Cs),Amikacin (Amk),Capreomycin (Cm),Levofloxacin (Lfx),Moxifloxacin (Mfx),Gatifloxacin (Gfx),Ofloxacin (Ofx),Artemether-Lumefantrine (AL),Artemether (AM),Artemisinin + Piperaquine (ART + PPQ),Artesunate + Amodiaquine + Primaquine (AS + AQ + PQ),Artesunate/Amodiaquine (AS + AQ),Artesunate + Mefloquine + Primaquine (AS + MQ + PQ),Artesunate / Sulfadoxine-pyrimethamine (AS + SP),Artesunate + Sulfadoxine + Primaquine (AS + SP + PQ),Atovaquone + Proguanil (AT + PG),Chloroquine (CQ),Chloroquine + Primaquine (CQ + PQ),DHA-Piperaquine (DHA-PPQ),Clarithromycin (CL),Doxycycline (D),Lamivudine (3TC),Abacavir (ABC),Zidovudine (AZT),Didanosine (ddl),Stavudine (d4t),Efavirenz (EFV),Emtricitabine (FTC),Lopinavir / Ritonavir (LPV/r),Nevirapine (NVP),Atazanafir/Ritonavir (ATV/r),Tenofovir (TDF),Albendazole (ALB),Mebendazole (MBD),Ivermectin (IVM),Albendazole (ALB),Mebendazole (MBD),Albendazole (ALB),Mebendazole (MBD),Ivermectin (IVM),Praziquantel (PZQ),Ivermectin (IVM),Albendazole (ALB),Ivermectin (IVM),Diethylcarbamazine (DEC)
Argentina,4401.788399,4401.788399,4401.788399,4437.981225,40.84835052,82.17660288,82.17660288,87.4158786,1.746425239,1.746425239,83.48642181,1.309818929,1.309818929,1.309818929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3783.17524,122.2568016,1502.665107,3.136901173,16.20302415,2719.586642,953.9801015,350.7388265,1618.611918,50.92785033,3192.017671,0,0,0,0,0,0,0,0,0,0,0,0,0
Armenia,822.1670879,822.1670879,822.1670879,861.9910112,41.80266264,64.83745574,64.83745574,69.08888354,1.4171426,1.4171426,65.90031269,1.06285695,1.06285695,1.06285695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.906417992,0.023988328,2.206146201,0,0,4.553170884,1.663949792,0.503058423,2.419804171,0.094334306,5.511532289,0,0,0,0,0,0,0,0,0,0,0,0,0
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,292.856937,292.856937,292.856937,294.2744704,1.727783118,4.437611667,4.437611667,4.714932134,0.092440156,0.092440156,4.506941783,0.069330117,0.069330117,0.069330117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.29496571,0.419612755,10.59212153,0.009244046,0.047713658,21.62148955,7.61552487,2.326812355,11.58183295,0.388341432,25.56709452,0,0,0,0,0,0,0,0,0,0,0,0,0
Austria,247.0413943,247.0413943,247.0413943,247.9158927,1.109169221,3.282788194,3.282788194,3.486122071,0.067777959,0.067777959,3.333621663,0.050833469,0.050833469,0.050833469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan,5997.743181,5997.743181,5997.743181,6283.784171,303.342932,713.0217353,713.0217353,758.1891172,15.05579396,15.05579396,724.3135808,11.29184547,11.29184547,11.29184547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.9344138,0.409442665,9.971884205,0.008937846,0.046086498,19.37491097,7.00204341,2.328492877,10.84517862,0.395595925,23.23726794,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahamas,35.4403112,35.4403112,35.4403112,35.96786619,0.544226464,0.721314164,0.721314164,1.665560173,0.31474867,0.31474867,0.957375666,0.236061502,0.236061502,0.236061502,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bahrain,109.0105372,109.0105372,109.0105372,109.0105372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38.03194226,0.151744474,14.14480469,0,0,29.42419646,10.71046321,3.190680735,15.53064132,0.596886954,35.52990605,0,0,0,0,0,0,0,0,0,0,0,0,0
Bangladesh,128960.8135,128960.8135,128960.8135,133830.802,5395.529037,12598.89545,12598.89545,13395.06671,265.3904223,265.3904223,12797.93826,199.0428167,199.0428167,199.0428167,24896.72347,0,0,0,0,0,0,0,0,916.9473274,1833.894655,0,0,0,96.36547235,5.811427933,40.3528013,0.164517706,0.842004887,63.99663366,22.17149326,10.71141323,42.69378892,1.277250834,74.03099208,69818.63679,0,38817.6253,9975.471354,0,2431.745149,0,922.6871763,0,0,2.458531917,0.319529984,2.139001933
Barbados,0,0,0,0,0,0,0,0.034248842,0.011416281,0.011416281,0.008562211,0.008562211,0.008562211,0.008562211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2586914,0.06814839,6.402401315,0,0,13.380694,4.859011923,1.435122309,7.033786498,0.268100511,16.13411664,0,0,0,0,0,0,0,0,0,0,0,0,0
Belarus,2126.730044,2126.730044,2126.730044,2633.365504,523.7601626,710.9948737,710.9948737,758.3452922,15.78347283,15.78347283,722.8324783,11.83760462,11.83760462,11.83760462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.7777158,1.052728362,49.84185608,0.014941541,0.077166296,100.3103669,36.60652843,11.51594422,54.4774398,2.093400962,121.2299825,0,0,0,0,0,0,0,0,0,0,0,0,0
Belgium,338.380713,338.380713,338.380713,339.0013856,0.861338777,2.760085839,2.760085839,2.929847634,0.056587265,0.056587265,2.802526288,0.042440449,0.042440449,0.042440449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belize,125.345846,125.345846,125.345846,125.345846,0,0,0,0.248435253,0.082811751,0.082811751,0.062108813,0.062108813,0.062108813,0.062108813,0,0,0,0,0,0,0,0,0,0.017103247,0.034206493,0,0,0,14.64897557,0.694094193,6.037697249,0.018715637,0.09646223,10.04816758,3.492806463,1.482417749,6.43567381,0.191690848,11.68234496,0,0,0,0,0,0,0,0,0,0,0,0,0
Benin,23660.18513,23660.18513,23660.18513,23755.3409,108.1777483,277.7295457,277.7295457,295.152969,5.80780776,5.80780776,282.0854015,4.35585582,4.35585582,4.35585582,154711.797,0,0,0,0,0,0,0,0,0,0,0,0,0,400.556193,30.52022018,171.8544625,0.874782987,4.482264043,255.9980365,85.84425354,46.00300049,180.47193,4.68317499,289.014673,0,0,0,0,0,0,0,0,5505.153606,0.00722505,3.757272234,3.757272234,0
Bermuda,0,0,0,0,0,0,0,0.002953081,0.00098436,0.00098436,0.00073827,0.00073827,0.00073827,0.00073827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87735951,0.003500596,0.326306735,0,0,0.678787279,0.247079854,0.073605867,0.358276624,0.013769595,0.819639995,0,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan,1330.44179,1330.44179,1330.44179,1338.215828,8.584905068,15.72296231,15.72296231,16.73426569,0.337101127,0.337101127,15.97578815,0.252825845,0.252825845,0.252825845,113.9248562,0,0,0,0,0,0,0,0,83.61743672,167.2348734,0,0,0,1.018766015,0.004138644,0.3805487,0,0,0.785312082,0.287006842,0.08678811,0.417397471,0.016275195,0.950639116,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,6059.129255,6059.129255,6059.129255,6128.067254,76.88255053,152.5589769,152.5589769,162.3038086,3.248277228,3.248277228,154.9951848,2.436207921,2.436207921,2.436207921,0,0,0,0.010832164,0,0.010832164,0,0,0,0.500224004,1.000448009,0,0,0,28.95903395,0.103199316,10.45157603,0,0,22.91666465,8.109017686,2.203913468,11.54094645,0.406527066,27.2523059,0,0,0,0,0,0,0,0,0,0,0,0,0
"Bonaire, Saint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bosnia and Herzegovina,726.8722072,726.8722072,726.8722072,727.0177343,0.251675751,1.096753404,1.096753404,1.163154798,0.022133798,0.022133798,1.113353752,0.016600349,0.016600349,0.016600349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Botswana,15661.28245,15661.28245,15661.28245,15661.28245,0,0,0,0,0,0,0,0,0,0,627.3481547,0,0,0,0,0,0,0,0,0,0,0,0,0,2332.291709,99.9827681,947.0652812,2.655487925,13.71638206,1630.740964,562.1364243,223.1478707,1013.53278,29.30053281,1889.837275,0,0,0,0,0,0,0,0,285.101703,0,0,0,0
Brazil,46307.24,46307.24,46307.24,46434.47774,149.7193153,347.1371523,347.1371523,369.0015422,7.288129983,7.288129983,352.6032498,5.466097487,5.466097487,5.466097487,1.163880565,0,0,2.234291762,0,2.234291762,0,0,0,16.88172978,33.76345955,0,0,0,26289.59234,698.9335161,10268.91329,17.60241657,90.67223413,19232.99969,6809.368921,2405.368229,11107.3162,368.4834049,22729.25285,0,0,0,0,0,0,0,0,3796.411794,0,0,0,0
British Virgin Islands,0,0,0,0,0,0,0,0.012415368,0.004138456,0.004138456,0.003103842,0.003103842,0.003103842,0.003103842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam,84.64235051,84.64235051,84.64235051,84.64235051,0,0,0,0.167760995,0.055920332,0.055920332,0.041940249,0.041940249,0.041940249,0.041940249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,663.973363,663.973363,663.973363,663.973363,0,0,0,1.761298715,0.587099572,0.587099572,0.440324679,0.440324679,0.440324679,0.440324679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso,51748.04891,51748.04891,51748.04891,53631.98742,1915.727529,2332.302896,2332.302896,2489.945883,52.54766263,52.54766263,2371.713643,39.41074697,39.41074697,39.41074697,254418.0768,0,0,0,258005.1953,0,0,0,0,0,0,0,0,0,577.0084996,36.2897442,239.9573743,1.034342709,5.293786539,385.2293551,131.0436506,62.55339676,254.0985612,7.064369443,440.4852262,0,0,0,0,0,0,0,0,1080.428602,0,23.49288851,23.49288851,0
Burundi,44666.59631,44666.59631,44666.59631,46094.10343,1450.484537,1761.959017,1761.959017,1881.096385,39.71245585,39.71245585,1791.743359,29.78434189,29.78434189,29.78434189,0,0,0,0,79621.78595,0,0,0,0,0,0,0,0,0,2295.019424,131.4326954,943.3816815,3.727011885,19.06949261,1557.470086,533.3556854,242.9998262,1002.377931,28.74689879,1790.824206,0,0,0,0,0,0,0,0,274.5992289,10.87267626,0,0,0
Cambodia,25215.73364,25215.73364,25215.73364,25215.73364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6425.155727,0,0,3983.284772,14.90124281,1457.168045,0,0,3121.9678,1118.957463,316.1996189,1605.410244,58.6645718,3736.778155,0,0,0,0,0,0,0,0,1099.962998,0,0,0,0
Cameroon,29320.06569,29320.06569,29320.06569,29320.06569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,343461.9742,0,0,0,0,0,0,0,0,0,38770.31738,1603.05981,15553.8007,44.30764196,226.348916,27271.73787,9613.15808,3946.17001,16660.73268,543.1106059,32035.34814,0,0,0,0,0,0,0,0,3592.975041,152.9306412,60.62511318,60.62511318,0
Canada,517.5132848,517.5132848,517.5132848,517.5132848,0,0,0,0.186412003,0.062137334,0.062137334,0.046603001,0.046603001,0.046603001,0.046603001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.19983393,0.136454661,12.71957051,0,0,26.45940681,9.631274165,2.869186919,13.96576989,0.536744471,31.94990353,0,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde,171.9463398,171.9463398,171.9463398,171.9463398,0,0,0,0.340797353,0.113599118,0.113599118,0.085199338,0.085199338,0.085199338,0.085199338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.04686789,0.056094923,5.225414719,0,0,10.8657228,3.95592775,1.179336939,5.737089208,0.220646697,13.12201527,0,0,0,0,0,0,0,0,0,0,0,0,0
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic,34654.50486,34654.50486,34654.50486,35169.2187,522.9987721,633.2741304,633.2741304,676.1110531,14.27897424,14.27897424,643.9833611,10.70923068,10.70923068,10.70923068,92308.07331,0,0,0,0,0,0,0,0,0,0,0,0,0,620.3770087,33.74666072,255.7911015,0.952325034,4.869860915,420.4892667,146.2771506,66.91535921,271.7605361,8.31167615,488.3886384,0,0,0,0,0,0,0,0,122.0716139,50.16443992,45.09562712,45.09562712,0
Chad,35299.79284,35299.79284,35299.79284,35299.79284,0,0,0,69.96412932,23.32137644,23.32137644,17.49103233,17.49103233,17.49103233,17.49103233,144042.6829,0,0,0,148033.316,0,0,0,0,0,0,0,0,0,1037.427118,63.29751736,430.8924667,1.807741483,9.240226442,693.9033753,238.3712877,113.7295092,456.4724464,13.25471593,798.4337679,0,0,0,0,0,0,0,0,3389.254491,4.478676612,19.10205723,19.10205723,0
Chile,2617.788991,2617.788991,2617.788991,2619.6894,2.843857628,11.27174211,11.27174211,11.9583996,0.228885832,0.228885832,11.44340648,0.171664374,0.171664374,0.171664374,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123.016006,0.449735405,44.71988757,0,0,96.85799868,34.50956765,9.57268735,49.32381812,1.771069453,115.5749441,0,0,0,0,0,0,0,0,0,0,0,0,0
China,386008.5409,386008.5409,386008.5409,395036.0532,10048.18539,19853.3875,19853.3875,21122.12596,422.9128224,422.9128224,20170.57211,317.1846168,317.1846168,317.1846168,0,0,14.16167654,0,12.62242985,0,0,0,0,804.6077034,1609.215407,15.06841891,0,0,11785.55032,47.87772346,4402.36108,0,0,9084.848647,3320.226164,1004.004471,4828.644477,188.2788858,10997.42725,0,0,0,0,0,0,0,0,0,0,0,0,0
"China, Hong Kong SAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"China, Macao SAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,5999.443819,5999.443819,5999.443819,6035.620166,43.68771395,112.4954012,112.4954012,119.5281153,2.344238025,2.344238025,114.2535797,1.758178519,1.758178519,1.758178519,9.546860167,0,0,0,0,0,0,0,0,0,0,0,0,0,8179.975227,29.15041461,2952.226692,0,0,6473.204508,2290.530958,622.5331134,3259.938029,114.8305337,7697.880651,273.0042765,203.9516477,0,80.07815554,13.93742123,25.6601921,40.5263042,0,0,0,0,0,0
Comoros,1908.875146,1908.875146,1908.875146,1908.875146,0,0,0,0,0,0,0,0,0,0,777.0948373,0,0,0,0,0,0,0,0,0,0,0,0,0,1.836154434,0.00733252,0.683046817,0,0,1.420326955,0.517104193,0.154158547,0.749931007,0.028842117,1.715261132,83.7416134,0,34.81954032,40.58348268,0,34.07528776,0,13.65215334,0,0,4.776004209,1.977993063,2.798011146
Republic of the Congo,7412.769839,7412.769839,7412.769839,7453.500689,41.38646061,50.27371586,50.27371586,70.0454907,6.590591612,6.590591612,55.21665957,4.942943709,4.942943709,4.942943709,0,0,0,0,41313.8623,0,0,0,0,0,0,0,0,0,426.3333009,1.702524275,158.5953768,0,0,329.7830878,120.0654657,35.7937879,174.1250931,6.69679786,398.2633086,1702.336818,0,712.1299211,204.4072351,0,99.84448871,0,39.74991961,1405.190915,0.423841299,1.315817525,1.315817525,0
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costa Rica,313.6321123,313.6321123,313.6321123,313.6321123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.39057497,0.607119378,9.804784269,0.015238393,0.078235796,18.77615151,6.66067702,2.296320777,10.63247871,0.359464966,22.23095202,0,0,0,0,0,0,0,0,0,0,0,0,0
Cote d'Ivoire,42027.22736,42027.22736,42027.22736,43157.93863,1169.501834,1695.334165,1695.334165,1807.431653,37.36582925,37.36582925,1723.358537,28.02437194,28.02437194,28.02437194,0,0,0,0,494427.8821,0,0,0,0,0,0,0,0,0,20739.84012,1181.281993,8560.507577,33.51904289,171.3804424,14012.35091,4839.957017,2238.183444,9088.264148,269.9545085,16193.84639,0,0,0,0,0,0,0,0,1814.727415,0,52.9663627,52.9663627,0
Croatia,314.5584874,314.5584874,314.5584874,314.5584874,0,0,0,0.623454387,0.207818129,0.207818129,0.155863597,0.155863597,0.155863597,0.155863597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cuba,244.7314038,244.7314038,244.7314038,246.7019299,2.253322886,4.484461038,4.484461038,4.770326122,0.095288361,0.095288361,4.555927309,0.071466271,0.071466271,0.071466271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.76440227,2.409552465,38.32884227,0.059247486,0.30603082,72.84099246,25.68430701,8.761280268,41.54015781,1.357461268,85.93616343,0,0,0,0,0,0,0,0,0,0,0,0,0
Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cyprus,18.2316038,18.2316038,18.2316038,18.2316038,0,0,0,0.036135008,0.012045003,0.012045003,0.009033752,0.009033752,0.009033752,0.009033752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Czech Republic,271.296056,271.296056,271.296056,271.9073853,0.700304912,1.639225389,1.639225389,1.742581377,0.034451996,0.034451996,1.665064386,0.025838997,0.025838997,0.025838997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic People's Republic of Korea,13718.80109,13718.80109,13718.80109,14413.24845,713.0937649,971.2078416,971.2078416,1035.912734,21.56829764,21.56829764,987.3840648,16.17622323,16.17622323,16.17622323,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Democratic Republic of the Congo,299831.4823,299831.4823,299831.4823,302799.429,3101.727936,4433.43912,4433.43912,4726.698614,97.75316469,97.75316469,4506.753993,73.31487352,73.31487352,73.31487352,0,0,0,0,1187961.216,0,0,0,0,0,0,0,0,0,18412.1731,1278.33138,7772.995767,36.80753611,188.1408219,12017.7445,4090.624926,2094.368629,8193.817083,228.664484,13719.17557,96721.0026,0,0,4464.910273,0,271.3851783,0,109.6899681,5257.423701,2565.703687,7.012232648,7.012232648,0
Denmark,141.7299892,141.7299892,141.7299892,141.7299892,0,0,0,0.024227414,0.008075805,0.008075805,0.006056854,0.006056854,0.006056854,0.006056854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
