Disease,TB,,,,,,,,,,,,,,Malaria,,,,,,,,,,,,HIV,,,,,,,,,,,,Roundworm,,,Hookworm,,Whipworm,,,Schistosomiasis,Onchocerciasis,LF,,
Company,F. Hoffmann-La Roche Ltd,Pfizer Inc.,Sanofi,Merck,Merck,Pfizer Inc.,Pfizer Inc.,Pfizer Inc.,Bristol-Myers Squibb,Eli Lilly and Company,Daiichi Sankyo,Bayer Healthcare,"Kyorin Pharmaceutical Co., Ltd.",Daiichi Sankyo,Novartis,Sanofi,Chongqing Holley Pharmaceutical Co. Ltd and Sigma Tau Industrie Farmaceutiche,Sanofi,Artepharm,F. Hoffmann-La Roche Ltd,Sanofi,Taisho Pharmaceuticals,Pfizer Inc.,Sanofi,Bayer Healthcare,Imperial Chemical Industries,Shire Pharmaceuticals,GlaxoSmithKline,GlaxoSmithKline,Bristol-Myers Squibb,Bristol-Myers Squibb,Merck,"Gilead Sciences, Inc.",Abbott Laboratories,Boehringer Ingelheim,"Gilead Sciences, Inc.",Bristol-Myers Squibb,Pfizer Inc.,GlaxoSmithKline,Johnson and Johnson,Merck,GlaxoSmithKline,Johnson and Johnson,GlaxoSmithKline,Johnson and Johnson,Merck,Bayer Healthcare,,GlaxoSmithKline,Merck,Pfizer Inc.
 ,Isoniazid (H or INH),Ethambutol (E or EMB),RIfampicin (R or RMP),Pyrazinamide (Z or PZA),Streptomycin (S or STR),Ethionamide (Eto),p-aminosalicylic acid (PAS),Cycloserine (Cs),Amikacin (Amk),Capreomycin (Cm),Levofloxacin (Lfx),Moxifloxacin (Mfx),Gatifloxacin (Gfx),Ofloxacin (Ofx),Artemether-Lumefantrine (AL),Artesunate / Sulfadoxine-pyrimethamine (AS + SP),DHA-Piperaquine (DHA-PPQ),Artesunate/Amodiaquine (AS + AQ),Artemisinin + Piperaquine (ART + PPQ),Sulfadoxine-pyrimethamine (SP),Artesunate+Mefloquine+Primaquine (AS + MQ + PQ),Clarithromycin (CL),Doxycycline (D),Chloroquine + Primaquine (CQ + PQ),Chloroquine (CQ),Proguanil (PG),Lamivudine (3TC),Abacavir (ABC),Zidovudine (AZT),Didanosine (ddl),Stavudine (d4t),Efavirenz (EFV),Emtricitabine (FTC),Lopinavir / Ritonavir (LPV/r),Nevirapine (NVP),Tenofovir (TDF),Atazanafir/Ritonavir (ATV/r),Nelfinavir (NFV),Albendazole (ALB),Mebendazole (MBD),Ivermectin (IVM),Albendazole (ALB),Mebendazole (MBD),Albendazole (ALB),Mebendazole (MBD),Ivermectin (IVM),Praziquantel (PZQ),,Albendazole (ALB),Ivermectin (IVM),Diethylcarbamazine (DEC)
Aruba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Australia,756.3872305,756.3872305,756.3872305,757.0911203,0.832095192,2.157110188,2.157110188,2.232976406,0.02528874,0.02528874,2.176076742,0.018966555,0.018966555,0.018966555,0,0,0,0,0,0,0,0,0,0,0,0,23.70504261,0.094257024,9.759390407,0,10.67273308,9.972436103,1.400769981,0.196848094,14.92294987,4.579432078,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Austria,551.7179533,551.7179533,551.7179533,552.1416706,0.500892515,1.436924946,1.436924946,1.521825253,0.028300102,0.028300102,1.458150023,0.021225077,0.021225077,0.021225077,0,0,0,0,0,0,0,0,0,0,0,0,0.882973462,0.122169437,0.297502686,0,0.463301339,0.272245554,0,0.092804355,0.498510546,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Azerbaijan,9551.00489,9551.00489,9551.00489,9555.505446,5.320281049,23.79393825,23.79393825,34.17189758,3.459319777,3.459319777,26.38842808,2.594489833,2.594489833,2.594489833,0,0,0,0,0,0,0,0,0,0.098064516,0.049032258,0,128.5247675,0.048297806,53.08066153,0,57.57606047,54.76258284,7.888180923,0.741594917,80.90681383,25.70792867,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Bahamas,59.65773019,59.65773019,59.65773019,59.65773019,0,0,0,0.06106001,0.020353337,0.020353337,0.015265003,0.015265003,0.015265003,0.015265003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Bahrain,307.848813,307.848813,307.848813,307.848813,0,0,0,0.265655711,0.088551904,0.088551904,0.066413928,0.066413928,0.066413928,0.066413928,0,0,0,0,0,0,0,0,0,0,0,0,10.22836162,0.06595749,4.197522507,0,4.616806915,4.28482053,0.59406836,0.10331286,6.424526883,1.942143065,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Bangladesh,295683.1458,295683.1458,295683.1458,295690.0957,8.215806418,27.64136871,27.64136871,455.3976244,142.5854186,142.5854186,134.5804326,106.9390639,106.9390639,106.9390639,8335.845658,0,0,0,0,0,0,0,0,1193.106347,596.5531735,0,153.9007954,0.808675643,63.19060702,0,69.30879106,64.91966471,9.104443557,1.430544901,96.53705706,29.69716526,0,0,5673.115759,0,0,1441.489771,0,290.4081598,0,0,0,,326.1686338,0,326.1686338
Barbados,19.41417469,19.41417469,19.41417469,19.41417469,0,0,0,0.018693097,0.006231032,0.006231032,0.004673274,0.004673274,0.004673274,0.004673274,0,0,0,0,0,0,0,0,0,0,0,0,6.842326438,0.173385758,5.46337373,0.018666613,0.344290502,4.593282469,0.494537343,0.821247459,1.155561351,1.374480404,0.774360209,0.011078905,0,0,0,0,0,0,0,0,0,,0,0,0
Belarus,6038.444248,6038.444248,6038.444248,6046.164045,9.12586984,28.97342401,28.97342401,47.5876374,6.204737795,6.204737795,33.62697736,4.653553347,4.653553347,4.653553347,0,0,0,0,0,0,0,0,0,0,0,0,307.4028789,0.123449547,127.327719,0,138.0640114,129.2871521,18.38164857,1.730551051,194.760416,60.26934747,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Belgium,916.058422,916.058422,916.058422,916.6022803,0.642915822,2.303238018,2.303238018,2.396665192,0.031142391,0.031142391,2.326594812,0.023356794,0.023356794,0.023356794,0,0,0,0,0,0,0,0,0,0,0,0,8.834298617,1.222325853,2.976564616,0,4.635408147,2.723862742,0,0.928523244,4.98768221,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Belize,140.7109299,140.7109299,140.7109299,140.7109299,0,0,0,0.128972656,0.042990885,0.042990885,0.032243164,0.032243164,0.032243164,0.032243164,0,0,0,0,0,0,0,0,0,2.744901331,1.372450666,0,93.40092338,2.300898737,75.13573539,0.304786859,4.566912331,62.67886252,6.580570163,11.34426068,15.78645546,18.28273395,10.29573599,0.180965751,0,0,0,0,0,0,0,0,0,,0,0,0
Benin,24759.56816,24759.56816,24759.56816,24760.40258,0.98639703,3.283504861,3.283504861,3.749107325,0.155200821,0.155200821,3.399905477,0.116400616,0.116400616,0.116400616,1118501.44,0,0,0,0,0,0,0,0,0,0,0,1364.454386,25.52808787,553.1502008,0,625.3767008,550.367962,69.82831088,25.68406045,854.3449774,230.2277073,0,0,0,0,0,0,0,0,0,0,748.4242777,,4.195961292,4.195961292,0
Bermuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Bhutan,1472.560693,1472.560693,1472.560693,1472.80661,0.290707661,0.972098598,0.972098598,1.324738834,0.117546745,0.117546745,1.060258657,0.088160059,0.088160059,0.088160059,14.85144556,0,0,0,0,0,0,0,0,17.6758603,8.837930149,0,5.512743867,0.025027328,2.258193451,0,2.473308772,2.362453655,0.337796624,0.049417944,3.435074945,1.09401094,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Bolivia,17865.35447,17865.35447,17865.35447,17865.35447,0,0,0,15.58756457,5.195854855,5.195854855,3.896891142,3.896891142,3.896891142,3.896891142,0,0,0,0,0,0,0,0,0,40.0740154,20.0370077,0,766.6325791,20.74031811,600.7123499,0.84515986,41.21979806,516.9312768,58.83220462,88.26225052,128.3438165,163.6374776,92.27105877,0.501541025,0,0,0,0,0,0,0,0,0,,0,0,0
"Bonaire, Saint Eustatius and Saba",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Bosnia and Herzegovina,1881.138527,1881.138527,1881.138527,1881.285,0.17315159,0.419987877,0.419987877,0.640071327,0.07336115,0.07336115,0.47500874,0.055020862,0.055020862,0.055020862,0,0,0,0,0,0,0,0,0,0,0,0,0.427339818,0.059127332,0.143984784,0,0.224227702,0.131760886,0,0.044915275,0.241268187,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Botswana,4798.122959,4798.122959,4798.122959,4801.046028,3.455473391,10.48586048,10.48586048,11.33640899,0.28351617,0.28351617,10.6984976,0.212637128,0.212637128,0.212637128,5123.154428,0,0,0,0,0,0,0,0,0,0,0,2937.756676,23.18123135,1213.833144,0,1339.078113,1177.360203,155.2545279,31.32286821,1880.7666,516.9187161,0,0,0,0,0,0,0,0,0,0,88.30099092,,0,0,0
Brazil,81937.53952,81937.53952,81937.53952,81956.40847,22.30570437,60.74685831,60.74685831,82.13241429,7.128518661,7.128518661,66.0932473,5.346388996,5.346388996,5.346388996,32.60530864,0,0,0,0,0,0,0,0,286.2423758,143.1211879,0,8202.42754,212.8757971,6484.388994,3.198420341,422.2561788,5666.26225,611.2844676,882.6764237,1310.821546,1697.389458,955.250344,1.899863694,0,0,0,0,0,0,0,0,4413.856211,,0,0,0
British Virgin Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Brunei Darussalam,169.6928508,169.6928508,169.6928508,169.6928508,0,0,0,0.144758359,0.048252786,0.048252786,0.03618959,0.03618959,0.03618959,0.03618959,0,0,0,0,0,0,0,0,0,0,0,0,0.558184432,0.015209172,0.222867986,0,0.25731494,0.225507273,0.027671269,0.014074729,0.343945036,0.090463602,0,0,0,0,0,0,0,0,0,0,0,,0.005850622,0,0.005850622
Bulgaria,2806.117951,2806.117951,2806.117951,2807.668916,1.833455021,6.624907338,6.624907338,7.308760859,0.227951174,0.227951174,6.795870718,0.17096338,0.17096338,0.17096338,0,0,0,0,0,0,0,0,0,0,0,0,0.222737715,0.033754442,0.074348118,0,0.114635155,0.071184522,0,0.025797792,0.120593092,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Burkina Faso,48636.30875,48636.30875,48636.30875,48639.7543,4.073114574,13.28986822,13.28986822,46.39820295,11.03611158,11.03611158,21.5669519,8.277083683,8.277083683,8.277083683,903061.1382,0,0,766346.2452,0,0,0,0,0,0,0,0,1064.444338,13.09132761,434.7925769,0,484.2303619,436.2208656,57.80458269,15.13748939,668.9226647,190.1346538,0,0,0,0,0,0,0,0,0,0,11029.25019,,36.78500817,36.78500817,0
Burundi,115577.0718,115577.0718,115577.0718,115582.1867,6.046555963,19.11864937,19.11864937,31.84660599,4.242652209,4.242652209,22.30063852,3.181989157,3.181989157,3.181989157,0,0,0,181133.0604,0,0,0,0,0,0,0,0,3990.948493,44.59005464,1627.033008,0,1808.679159,1663.013568,225.4045575,54.17203422,2492.476992,736.0508291,0,0,0,0,0,0,0,0,0,0,856.8022179,,0,0,0
Cambodia,55839.01338,55839.01338,55839.01338,55839.57363,0.662293255,1.798568003,1.798568003,21.81508399,6.672171996,6.672171996,6.802697,5.004128997,5.004128997,5.004128997,0,0,46.4469866,0,0,0,0,0,0,0,121.0078134,60.50390672,1349.422088,28.44570371,547.7456641,0,623.4893475,528.5500701,64.1897112,27.32144954,853.3299501,213.9310837,0,0,0,0,0,0,0,0,0,0,23390.05262,,0,0,0
Cameroon,42177.70446,42177.70446,42177.70446,42178.67022,1.141661431,3.6098276,3.6098276,29.86520424,8.751792214,8.751792214,10.17367176,6.563844161,6.563844161,6.563844161,0,0,0,1743596.247,0,0,0,0,0,0,0,0,50416.99392,548.8365642,20579.5357,0,22857.35558,20941.52096,2831.25947,671.632298,31552.85962,9262.525543,0,0,233054.8962,0,77684.96539,945.0282675,0,277.5526037,0,112.3170166,1469.75544,,38.72934065,38.72934065,0
Canada,1345.840646,1345.840646,1345.840646,1346.509366,0.790519195,1.813642229,1.813642229,1.841730019,0.009362597,0.009362597,1.820664176,0.007021948,0.007021948,0.007021948,0,0,0,0,0,0,0,0,0,0,0,0,64.63564341,1.722965019,50.79016339,0.042910977,3.421275762,44.08620488,4.914305264,7.196395616,10.58983617,13.65845549,7.694954704,0.025468287,0,0,0,0,0,0,0,0,0,,0,0,0
Cape Verde,401.2068638,401.2068638,401.2068638,401.2068638,0,0,0,0.3713005,0.123766833,0.123766833,0.092825125,0.092825125,0.092825125,0.092825125,1524.681769,0,0,0,0,0,0,0,0,0,0,0,0.654739834,0.098589935,0.218701024,0,0.337448875,0.208741781,0,0.075315763,0.355559804,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Cayman Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Central African Republic,43890.96544,43890.96544,43890.96544,43890.96544,0,0,0,0.703347429,0.234449143,0.234449143,0.175836857,0.175836857,0.175836857,0.175836857,245153.7961,0,0,0,0,0,0,0,0,0,0,0,6614.586539,37.02279941,2711.497116,0,2976.456899,2803.785658,394.7898247,63.59352936,4136.598351,1284.399549,0,0,0,0,0,0,0,0,0,0,19.71685882,,7.069018926,7.069018926,0
Chad,48224.74675,48224.74675,48224.74675,48224.74675,0,0,0,43.71682542,14.57227514,14.57227514,10.92920635,10.92920635,10.92920635,10.92920635,340840.4438,0,0,283704.9043,0,0,0,0,0,0,0,0,11493.71669,99.33359318,4708.860584,0,5202.025753,4777.149813,651.6218448,133.9378244,7219.494232,2135.118609,0,0,0,0,0,0,0,0,0,0,1154.283274,,8.001450993,8.001450993,0
Chile,4565.73593,4565.73593,4565.73593,4566.219622,0.571791197,1.56471988,1.56471988,1.951838991,0.129039704,0.129039704,1.661499658,0.096779778,0.096779778,0.096779778,0,0,0,0,0,0,0.045012231,0,0,0,0,0,279.6560476,7.057769921,222.6365492,0.165756506,13.98973246,194.342434,20.35878458,29.81243674,44.15562726,56.49653712,31.77169847,0.098392265,0,0,0,0,0,0,0,0,0,,0,0,0
China,484023.4952,484023.4952,484023.4952,484041.9694,21.83903952,58.53592767,58.53592767,443.4479307,128.304001,128.304001,154.7639284,96.22800076,96.22800076,96.22800076,0,0,45.49472811,39.06567357,43.34026913,0,0,0,0,406.7118835,203.3559418,0,17575.56707,44.84800155,7237.975172,0,7890.510118,7463.237982,1063.618708,129.2707094,11040.5098,3465.852483,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
"China, Hong Kong SAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
"China, Macao SAR",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Colombia,15435.58367,15435.58367,15435.58367,15439.79209,4.974931936,13.55280703,13.55280703,16.5896447,1.012279223,1.012279223,14.31201645,0.759209417,0.759209417,0.759209417,0,0,0,0,0,0,0,0,0,58.85467428,29.42733714,0,722.5486837,19.73566355,563.5981526,0,39.20039263,493.9329525,56.18692893,78.9269335,117.8485244,156.2014038,88.02720227,0,1642.97091,1066.845678,0,453.0523837,56.12686985,100.7996001,175.2693934,0,0,,0,0,0
Comoros,2841.612036,2841.612036,2841.612036,2841.612036,0,0,0,2.420529801,0.806843267,0.806843267,0.60513245,0.60513245,0.60513245,0.60513245,16391.03691,0,18.91288289,20.90515584,0,0,0,0,0,47.65876885,79.68899733,18.47336501,0.047327566,2.21E-05,0.019599655,0,0.021255292,0.01991274,0.002831557,0.000269,0.029975944,0.009282056,0,0,116.2079466,0,0,42.89615523,0,15.2624199,0,0,0,,1.368929958,0,1.368929958
Republic of the Congo,15028.47989,15028.47989,15028.47989,15028.47989,0,0,0,13.67368428,4.557894761,4.557894761,3.418421071,3.418421071,3.418421071,3.418421071,0,0,0,142676.3469,0,0,0,0,0,0,0,0,7507.350922,134.6606178,3037.842541,0,3430.143599,3071.673262,397.4896642,138.2121298,4674.495026,1302.193829,0,0,204.0067659,0,0,94.03725363,0,57.63807187,0,22.67373245,595.6073789,,11.12063352,11.12063352,0
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Costa Rica,816.8547556,816.8547556,816.8547556,816.8547556,0,0,0,0.045754653,0.015251551,0.015251551,0.011438663,0.011438663,0.011438663,0.011438663,0,0,0,0,0,0,0,0,0,0.057569379,0.029133842,0,28.61695342,0.742855657,22.62137676,0.011090857,1.473496457,19.77278715,2.133309128,3.077002688,4.571347838,5.923624536,3.333634931,0.006580795,0,0,0,0,0,0,0,0,0,,0,0,0
Cote d'Ivoire,66357.43639,66357.43639,66357.43639,66357.43639,0,0,0,61.68959033,20.56319678,20.56319678,15.42239758,15.42239758,15.42239758,15.42239758,0,0,0,1068511.62,0,0,0,0,0,0,0,0,62080.17624,655.799539,25347.08324,0,28133.82591,25814.70748,3498.520487,812.8311971,38852.91229,11441.98804,0,0,0,0,0,0,0,0,0,0,7423.724478,,25.3816873,25.3816873,0
Croatia,905.611858,905.611858,905.611858,905.611858,0,0,0,0.838106637,0.279368879,0.279368879,0.209526659,0.209526659,0.209526659,0.209526659,0,0,0,0,0,0,0,0,0,0,0,0,5.244406449,0.004650527,2.172833362,0,2.358215941,2.1954847,0.310211605,0.031140341,3.327494033,1.018918224,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Cuba,1090.406309,1090.406309,1090.406309,1090.435169,0.034116918,0.092493167,0.092493167,0.159840262,0.022449032,0.022449032,0.109329941,0.016836774,0.016836774,0.016836774,0,0,0,0,0,0,0,0,0,0,0,0,244.1065776,6.130768514,194.4592302,0.076440372,12.1481503,170.6510296,17.7231369,25.50039189,38.06868686,49.16800594,27.64068227,0.045364317,0,0,0,0,0,0,0,0,0,,0,0,0
Curacao,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Cyprus,30.85241583,30.85241583,30.85241583,30.85241583,0,0,0,0.028552646,0.009517549,0.009517549,0.007138161,0.007138161,0.007138161,0.007138161,0,0,0,0,0,0,0,0,0,0,0,0,0.323037475,0.044695915,0.108841908,0,0.169499652,0.099601539,0,0.033952645,0.182381006,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Czech Republic,948.9253009,948.9253009,948.9253009,949.2083337,0.334583958,1.548466044,1.548466044,1.571708274,0.00774741,0.00774741,1.554276602,0.005810557,0.005810557,0.005810557,0,0,0,0,0,0,0,0,0,0,0,0,0.049336564,0.006826276,0.016623105,0,0.025887184,0.01521185,0,0.005185488,0.027854515,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Democratic People's Republic of Korea,48364.12392,48364.12392,48364.12392,48364.12392,0,0,0,41.19732101,13.73244034,13.73244034,10.29933025,10.29933025,10.29933025,10.29933025,0,0,0,0,0,0,0,0,0,1.531970084,0.765985042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Democratic Republic of the Congo,493696.4176,493696.4176,493696.4176,493701.5846,6.108190896,19.31353331,19.31353331,297.9237112,92.87005929,92.87005929,88.96607778,69.65254446,69.65254446,69.65254446,0,0,0,4330033.355,0,0,0,0,0,0,0,0,21841.18647,582.5441466,8700.252483,0,10022.73736,8981.761727,1131.005078,546.4415132,13355.49738,3666.657556,0,0,104.6051993,0,38.36267284,91.15264417,0,12.74858365,0,4.879513872,10823.40612,,3.981313486,3.981313486,0
Denmark,354.8702987,354.8702987,354.8702987,354.9741785,0.122800326,0.311133741,0.311133741,0.315924438,0.001596899,0.001596899,0.312331415,0.001197674,0.001197674,0.001197674,0,0,0,0,0,0,0,0,0,0,0,0,4.375779837,0.605438989,1.474343578,0,2.29599727,1.349176,0,0.45991351,2.470484664,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Djibouti,2994.825643,2994.825643,2994.825643,2994.825643,0,0,0,2.656414936,0.885471645,0.885471645,0.664103734,0.664103734,0.664103734,0.664103734,0,106.8587438,0,0,0,0,0,0,0,0,0,0,89.00453042,0.379492309,36.51887105,0,39.96752669,37.94622089,5.40018698,0.77346214,55.63073902,17.53882736,0,0,0,0,0,0,0,0,0,0,0,,0,0,0
Dominica,19.11148189,19.11148189,19.11148189,19.11148189,0,0,0,0.018401647,0.006133882,0.006133882,0.004600412,0.004600412,0.004600412,0.004600412,0,0,0,0,0,0,0,0,0,0,0,0,7.793501291,0.14595228,6.687724358,0.07853403,0.289158963,5.018686512,0.422360461,1.154139621,1.416391479,1.171560181,0.658503771,0.046674399,0,0,0,0,0,0,0,0,0,,0,0,0
